Cosmology WMAP:,  71, 0.27, 0.73, 0.
      z,       DA (Mpc)
      0.0993,  373.5579
      0.0994,  373.8954
      0.0995,  374.2245
      0.0996,  374.5617
      0.0997,  374.8987
      0.0998,  375.2273
      0.0999,  375.5642
      0.1000,  375.9008
      0.1001,  376.2291
      0.1002,  376.5656
      0.1003,  376.9019
      0.1004,  377.2298
      0.1005,  377.5658
      0.1006,  377.9017
      0.1007,  378.2292
      0.1008,  378.5648
      0.1009,  378.9004
      0.1010,  379.2276
      0.1011,  379.5628
      0.1012,  379.8980
      0.1013,  380.2247
      0.1014,  380.5596
      0.1015,  380.8943
      0.1016,  381.2290
      0.1017,  381.5553
      0.1018,  381.8897
      0.1019,  382.2239
      0.1020,  382.5580
      0.1021,  382.8838
      0.1022,  383.2176
      0.1023,  383.5514
      0.1024,  383.8850
      0.1025,  384.2103
      0.1026,  384.5436
      0.1027,  384.8769
      0.1028,  385.2100
      0.1029,  385.5430
      0.1030,  385.8676
      0.1031,  386.2003
      0.1032,  386.5329
      0.1033,  386.8654
      0.1034,  387.1978
      0.1035,  387.5300
      0.1036,  387.8538
      0.1037,  388.1858
      0.1038,  388.5176
      0.1039,  388.8494
      0.1040,  389.1810
      0.1041,  389.5124
      0.1042,  389.8438
      0.1043,  390.1750
      0.1044,  390.4978
      0.1045,  390.8288
      0.1046,  391.1597
      0.1047,  391.4904
      0.1048,  391.8210
      0.1049,  392.1514
      0.1050,  392.4818
      0.1051,  392.8119
      0.1052,  393.1420
      0.1053,  393.4720
      0.1054,  393.8018
      0.1055,  394.1315
      0.1056,  394.4611
      0.1057,  394.7905
      0.1058,  395.1198
      0.1059,  395.4490
      0.1060,  395.7781
      0.1061,  396.1071
      0.1062,  396.4359
      0.1063,  396.7645
      0.1064,  397.0931
      0.1065,  397.4215
      0.1066,  397.7498
      0.1067,  398.0781
      0.1068,  398.4062
      0.1069,  398.7341
      0.1070,  399.0619
      0.1071,  399.3896
      0.1072,  399.7171
      0.1073,  400.0446
      0.1074,  400.3720
      0.1075,  400.6992
      0.1076,  401.0262
      0.1077,  401.3531
      0.1078,  401.6881
      0.1079,  402.0148
      0.1080,  402.3413
      0.1081,  402.6678
      0.1082,  402.9942
      0.1083,  403.3203
      0.1084,  403.6464
      0.1085,  403.9805
      0.1086,  404.3063
      0.1087,  404.6320
      0.1088,  404.9576
      0.1089,  405.2831
      0.1090,  405.6084
      0.1091,  405.9417
      0.1092,  406.2668
      0.1093,  406.5917
      0.1094,  406.9165
      0.1095,  407.2412
      0.1096,  407.5740
      0.1097,  407.8984
      0.1098,  408.2228
      0.1099,  408.5469
      0.1100,  408.8710
      0.1101,  409.2031
      0.1102,  409.5269
      0.1103,  409.8507
      0.1104,  410.1743
      0.1105,  410.5058
      0.1106,  410.8292
      0.1107,  411.1524
